Title,Short Description,Salary,Location,Company Name
"Data Engineer (Open to remote work, except the following loc...","
Understanding of data lake/data warehouse concepts, data modeling concepts.
Develop new data pipelines under the guidance of senior engineers.
","$75,000 a yearFull-time","Remote in Boston, MA",Converse
newData Engineer,"
Utilize ETL skills with SQL and other coding tools to establish efficient data processes and create data structures in our data warehouse.
",Estimated $89.5K – $113K a year,"Nashville, TN",Nashville Soccer Club
newData Engineer,"
Experience handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.
","$113,000 - $160,000 a yearFull-time",+126 locationsRemote,Amazon.com Services LLC
newSenior Data Engineer,"
You'll work closely with our product data analysts to determine appropriate data models for the company's requirements.
Remote, In-Person, or Hybrid Scheduling.
","$120,000 - $160,000 a yearFull-time",Remote,Underdog Fantasy
Junior Data Engineer,"
1 plus years of experience as a data engineer, business intelligence analyst, or in a highly analytical role.
Comfortable thinking about data and systems.
",Estimated $104K – $131K a yearFull-time,"Pleasanton, CA+1 location",The Clorox Company
"newData Engineer, PySpark","
Experience engineering data solutions working with big data, including sensor data or data from internet of things and performing time series analysis upon data…
","$140,000 - $170,000 a yearFull-time","Houston, TX",Computer Staff
newData Engineer,"
The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up.
",Estimated $91K – $115K a yearFull-time,"Louisville, KY 40205 (Highlands Douglas area)",Texas Roadhouse
"Data Engineer, Megaphone","
You have experience working on and building distributed data pipelines that ingest huge amounts of data across multiple sources and brands.
",Estimated $126K – $160K a year,"Remote in New York, NY+18 locations",Spotify
newStaff Data Engineer,"
6+ years of experience working in data architecture, data modeling, master data management, metadata management.
","$166,000 a yearFull-time","San Francisco, CA+2 locations",Slack
Data Engineer,"
Work experience related to data engineering, information, and data management.
Data Engineers work with data consumers to create and populate optimal data…
","$66,077 - $164,102 a yearFull-time","Washington, DC 20505 (Foggy Bottom area)",Central Intelligence Agency
newData Systems Engineer,"
Assist business in ad-hoc data mining and data analysis in OLAP and OLTP systems.
Design, develop, and maintain business intelligence reports and dashboards…
",Estimated $83K – $105K a yearRotating shift,"Lehi, UT 84043",Vivint Smart Home
newData Engineer,"
You will participate in the evolution of our platform app.kpler.com (*code, test, deployment, support*) and derived applications with the aim of extracting (…
",Estimated $90.4K – $114K a yearFull-time,+1 locationRemote,Kpler
newData Engineer,"
Not afraid to wrangle messy data.
Collaborate with data scientists, engineers, and stakeholders company-wide to solve high-impact healthcare problems by…
",Estimated $107K – $135K a year12 hour shift,+1 locationRemote,Ready Responders
newData Engineer - 100% Remote,"
Healthcare data and HIPAA data experience required.
Load data from a variety of healthcare and medical sources into the organization’s data warehouse, building…
","$100,000 - $180,000 a year",+7 locationsRemote,Piper Companies
Data Engineer,"
Collaborates with other BI engineers and managers, technical leads, and other departments to ensure successful delivery of BI projects.
",Estimated $71.5K – $90.5K a yearFull-time,"Salt Lake City, UT",Extra Space Storage
